ticker,window,initial_value,final_value,return_pct,sharpe_ratio,max_drawdown,volatility,profit_factor
AAPL,10,10000.0,11914.52,19.15,0.532,-9.62,5.86,1.154
AAPL,20,10000.0,12899.85,29.0,0.672,-9.22,6.75,1.196
AAPL,30,10000.0,13794.33,37.94,0.669,-14.03,8.77,1.201
AAPL,50,10000.0,14419.64,44.2,0.753,-14.82,8.92,1.239
MSFT,10,10000.0,13002.92,30.03,0.62,-8.39,7.59,1.187
MSFT,20,10000.0,13246.0,32.46,0.428,-22.21,13.15,1.135
MSFT,30,10000.0,13259.4,32.59,0.423,-21.72,13.53,1.132
MSFT,50,10000.0,11955.71,19.56,0.294,-23.38,13.64,1.097
SPY,10,10000.0,12644.87,26.45,0.497,-12.6,8.71,1.147
SPY,20,10000.0,13786.93,37.87,0.606,-15.01,9.76,1.183
SPY,30,10000.0,13817.56,38.18,0.595,-14.15,10.11,1.182
SPY,50,10000.0,14105.28,41.05,0.607,-15.81,10.73,1.192
