ticker,window,initial_value,final_value,return_pct,sharpe_ratio,max_drawdown,volatility,profit_factor
AAPL,60,10000.0,14734.33,47.34,0.764,-17.86,9.4,1.245
AAPL,50,10000.0,14419.64,44.2,0.753,-14.82,8.92,1.239
AAPL,40,10000.0,14247.91,42.48,0.71,-15.13,9.15,1.218
AAPL,5,10000.0,11470.75,14.71,0.704,-5.22,3.34,1.197
AAPL,20,10000.0,12899.85,29.0,0.672,-9.22,6.75,1.196
AAPL,30,10000.0,13794.33,37.94,0.669,-14.03,8.77,1.201
MSFT,10,10000.0,13002.92,30.03,0.62,-8.39,7.59,1.187
SPY,50,10000.0,14105.28,41.05,0.607,-15.81,10.73,1.192
SPY,20,10000.0,13786.93,37.87,0.606,-15.01,9.76,1.183
SPY,30,10000.0,13817.56,38.18,0.595,-14.15,10.11,1.182
SPY,40,10000.0,13844.37,38.44,0.593,-14.91,10.3,1.185
MSFT,15,10000.0,14491.88,44.92,0.593,-16.37,11.72,1.187
SPY,60,10000.0,13793.45,37.93,0.563,-17.72,11.02,1.185
AAPL,10,10000.0,11914.52,19.15,0.532,-9.62,5.86,1.154
AAPL,15,10000.0,12310.33,23.1,0.532,-11.23,7.06,1.156
MSFT,5,10000.0,13006.82,30.07,0.522,-14.38,9.26,1.159
SPY,15,10000.0,12956.81,29.57,0.518,-15.36,9.26,1.158
SPY,5,10000.0,12484.82,24.85,0.507,-12.92,7.96,1.151
SPY,10,10000.0,12644.87,26.45,0.497,-12.6,8.71,1.147
MSFT,20,10000.0,13246.0,32.46,0.428,-22.21,13.15,1.135
MSFT,30,10000.0,13259.4,32.59,0.423,-21.72,13.53,1.132
MSFT,40,10000.0,12482.14,24.82,0.345,-23.14,13.74,1.11
MSFT,50,10000.0,11955.71,19.56,0.294,-23.38,13.64,1.097
MSFT,60,10000.0,11682.58,16.83,0.263,-24.4,13.97,1.087
